C_2ba58216460d43aa986fc0e897537239_0_q#0	what team did Johnny Unitas play for?
C_2ba58216460d43aa986fc0e897537239_0_q#1	how many games did the colts win
C_2ba58216460d43aa986fc0e897537239_0_q#2	who did the Colts play in the playoffs?
C_2ba58216460d43aa986fc0e897537239_0_q#3	did the Colts win the super bowl?
C_2ba58216460d43aa986fc0e897537239_0_q#4	who did the Colts play in the super bowl?
C_2ba58216460d43aa986fc0e897537239_0_q#5	what were Johnny Unitas stats?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#0	Where was Mark Taylor born?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#1	What did Mark Taylor do growing up?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#2	Are there any other interesting aspects in addition to this article?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#3	Did Mark Taylor win any awards?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#4	did Mark Taylor win any championships for his school?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#5	What jobs did Mark Taylor work?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#6	Did Mark Taylor go to college?
C_ae269bdc0d524b599736eb69a322d5b1_1_q#7	Did Mark Taylor graduate?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#0	Who was Gautam Gambhir in Indian premier league?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#1	what did Gautam Gambhir do as captain?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#2	Did Gautam Gambhir set any other records besides scoring more than 1000 runs in the IPL?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#3	Did Gautam Gambhir win any awards?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#4	Are there any other interesting aspects about this article aside from Gautam Gambhir record?
C_c517b95f33a74cf5ac5b8cc32a6889b8_1_q#5	Did Gautam Gambhir play for any other teams other than Delhi Daredevils?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#0	Did Steve Young play any notable games while Montana's backup?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#1	Did Montana win the game against the Chicago Bears in 1987?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#2	Did Steve Young play any other notable games other than the one against the Chicago Bears in 1987?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#3	Who were the 49ers playing in the game with a score of 27-10?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#4	When was the Minnesota Vikings game against Montana being played?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#5	Was the 1987 game against the Minnesota Vikings played at the 49ers' stadium or the Vikings' stadium?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#6	Did the 49ers play well during the 1987 to 1990 period?
C_52dfda507a2f476c98e838aa6c80d9e5_1_q#7	Did Minnesota Vikings ever get to the Super Bowl while Steve Young was there?
C_44cfa9f1a9614dc1970959a59917acbd_1_q#0	What is "The colour and the shape"
C_44cfa9f1a9614dc1970959a59917acbd_1_q#1	What singles did the album  "The colour and the shape" have?
C_44cfa9f1a9614dc1970959a59917acbd_1_q#2	Did The Colour and the Shape album go on tour?
C_44cfa9f1a9614dc1970959a59917acbd_1_q#3	What are some interesting aspects about this article besides the album"The Colour and the Shape"?
C_44cfa9f1a9614dc1970959a59917acbd_1_q#4	What other songs were featured on films besides "Dear Lover"?
C_44cfa9f1a9614dc1970959a59917acbd_1_q#5	Any others songs were featured on films besides "Dear Lover", "Walking After You" for The X-Files and "A320"?
C_f615186a82b8421aacb4ca18fca24b42_0_q#0	Where did Robson play internationally?
C_f615186a82b8421aacb4ca18fca24b42_0_q#1	Other than playing in South Africa in 1956, where else did Robson play after 1956?
C_f615186a82b8421aacb4ca18fca24b42_0_q#2	Who was Robson playing for in 1957?
C_f615186a82b8421aacb4ca18fca24b42_0_q#3	Which team did Robson play for longest?
C_f615186a82b8421aacb4ca18fca24b42_0_q#4	What did Robson do after playing for England?
C_c50f120990f34e0cb4e97ecfbab870af_1_q#0	Was Odissi an acceptable form of dancing during the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_q#1	Was Odissi a popular form of dancing during the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_q#2	Was there a popular Odissi dancer in the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_q#3	Is there anything significant about Odissi dancing in the Medieval era?
C_c50f120990f34e0cb4e97ecfbab870af_1_q#4	Was Odissi dancing a good source of income for the Medieval era performers?
C_c50f120990f34e0cb4e97ecfbab870af_1_q#5	Was there anyone in the Medieval era who did not like the Odissi form of dancing?
C_c50f120990f34e0cb4e97ecfbab870af_1_q#6	In what arenas were you able to witness the Odissi performers in the Medieval era?
C_ca2198202da140e28165132567967682_1_q#0	Can you provide me with a little information on And Winter Came..and Dark Sky Island by Enya?
C_ca2198202da140e28165132567967682_1_q#1	Is Enya the name of a music group?
C_ca2198202da140e28165132567967682_1_q#2	What was all involved in the making of the album And Winter Came... and Dark Sky Island?
C_ca2198202da140e28165132567967682_1_q#3	Is Enya's winter-themed album popular?
C_ca2198202da140e28165132567967682_1_q#4	What did Enya do after her winter-themed album became a success?
C_ca2198202da140e28165132567967682_1_q#5	What did Enya focus on during her break after promoting And Winter Came...?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#0	Where did Hillary Clinton grow up?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#1	Where did Hillary Clinton live after Chicago?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#2	What did Hillary Clinton's parents do for a living?
C_8b166a2b96a4446b96aec0b2fd24bb06_1_q#3	Did Hillary Clinton have siblings?
C_55326ebad6b0415ea8430f68d8c986f4_1_q#0	What was Havelock Ellis view on sexual impulse in the youth?
C_55326ebad6b0415ea8430f68d8c986f4_1_q#1	How does Havelock Ellis feel youth experience sexual impulse differently?
C_55326ebad6b0415ea8430f68d8c986f4_1_q#2	Does Havelock Ellis think that the youth are more sexually active than older people?
C_55326ebad6b0415ea8430f68d8c986f4_1_q#3	Why did Havelock Ellis come to youth are more sexually active than older people conclusion?
C_55326ebad6b0415ea8430f68d8c986f4_1_q#4	Were the recalling of sensations more in females or males?
C_55326ebad6b0415ea8430f68d8c986f4_1_q#5	Besides Havelock Ellis who were the other authors?
